Rec_area,Location,Date,Ec_per100mL,Mc_ugL
Suffern Lake Beach, Suffern Lake,2019-07-16,9.24,0.099
Suffern Lake Beach, Suffern Lake,2019-08-26,1.5,0.099
Sun Dale Beach, Last Mountain Lake,2019-06-25,3.2,0.099
Sun Dale Beach, Last Mountain Lake,2019-07-31,35.85,0.099
Sun Dale Beach, Last Mountain Lake,2019-08-28,35.85,0.099
Sunset Beach, Crooked lake,2019-08-19,1.51,5
Thode Subdivision Beach Area, Blackstrap Lake,2019-07-30,10.03,2.5
Turtle Lake South Bay Public Beach,Turtle Lake,2019-07-09,0.32,0.099
War Veteran's Park Beach, Lac Ile a la Crosse,2019-07-24,0.78,0.099
Washington Beach, Methy Lake,2019-07-23,0.89,0.099
Welwyn Centennial Regional Park Beach, Qu'Appelle River,2019-07-25,11.53,0.099
Bird's Point Beach,Round Lake,2020-08-11,3.32,0.099
B-Say Tah Beach,Echo Lake,2020-06-28,1.22,0.099
B-Say Tah Beach,Echo Lake,2020-07-22,10.58,0.099
B-Say Tah Beach,Echo Lake,2020-08-20,10.51,0.099
Buffalo Pound Provincial Park Beach,Buffalo Pound Lake,2020-07-15,2.19,0.099
Buffalo Pound Provincial Park Beach,Buffalo Pound Lake,2020-08-13,2,0.099
Cabri Regional Park Beach,Lake Diefenbaker,2020-07-27,7.24,0.099
Cabri Regional Park Beach,Lake Diefenbaker,2020-08-25,62,0.099
Danielson Visitor’s Center Beach,Lake Diefenbaker,2020-07-07,60.51,5
Echo Bible Camp Beach,Echo Lake,2020-08-18,1.35,0.099
Echo Provincial Park Beach,Echo Lake,2020-06-29,5.52,0.099
Echo Provincial Park Beach,Echo Lake,2020-07-09,6.22,0.099
Echo Provincial Park Beach,Echo Lake,2020-07-16,26.12,0.099
Echo Provincial Park Beach,Echo Lake,2020-07-23,13.55,0.099
Echo Provincial Park Beach,Echo Lake,2020-07-29,17.77,0.099
Echo Provincial Park Beach,Echo Lake,2020-08-06,15.63,0.099
Echo Provincial Park Beach,Echo Lake,2020-08-13,24.62,0.099
Echo Provincial Park Beach,Echo Lake,2020-08-20,1.49,0.099
Echo Provincial Park Beach,Echo Lake,2020-08-25,7.86,0.099
Echo Provincial Park Beach,Echo Lake,2020-09-01,20.26,0.099
